#separator:tab
#html:false
#notetype:Basic
#deck:Calcolabilità e Complessità

Front	Back
Definizione di PROBLEMA	Un problema è una relazione fra stringhe. Si divide in problemi di RICERCA (output arbitrario) e problemi di DECISIONE (output booleano).
Definizione di ALFABETO	$\Sigma = \{a,b,c,\ldots\}$ è un insieme finito di simboli.
Definizione di LINGUAGGIO	Sottoinsieme delle parole costruibili su un alfabeto $\Sigma$: $L \subseteq \Sigma^*$.
Definizione di PROBLEMA DI DECISIONE di un linguaggio	Dato un linguaggio $L$ fissato, il problema di decisione consiste nel decidere se una stringa $w$ appartiene a $L$, cioè se $w \in L$.
Teorema: i problemi di decisione e i linguaggi	Tutti i problemi di decisione possono essere ridotti al riconoscimento di uno specifico linguaggio.
Definizione formale di MACCHINA DI TURING (MdT)	La MdT è la settupla $M = \{Q, q_0, F, \Sigma, \Gamma, \sqcup, \delta\}$ dove: $Q$ = insieme degli stati; $q_0$ = stato iniziale; $F$ = stati finali; $\Sigma$ = simboli in input; $\Gamma$ = simboli che la macchina può scrivere ($\Sigma \subset \Gamma$); $\sqcup \in \Gamma$ = simbolo blank; $\delta : Q \times \Gamma \to Q \times \Gamma \times \{\leftarrow, \rightarrow\}$ = funzione di transizione.
Definizione di CONFIGURAZIONE di una MdT	Una configurazione è una stringa $\alpha q \beta$ dove $q \in Q$ è lo stato corrente, $\alpha, \beta \in \Gamma^*$ sono le stringhe a sinistra e a destra della testina. È una "fotografia" dello stato corrente: stato macchina, posizione testina, contenuto nastro.
Definizione di LEGAL SUCCESSOR	Data $M$ e una configurazione $c_1$, $c_2$ è legal successor di $c_1$ (scriviamo $c_1 \vdash_M c_2$) se $c_2$ si ottiene da $c_1$ in esattamente un passo di computazione mediante una transizione di $\delta$.
Definizione di CONFIGURAZIONE INIZIALE	Per una MdT $M$ e stringa $w \in \Sigma^*$, la configurazione iniziale è $c_1 = q_0 w$.
Definizione di CONFIGURAZIONE ACCETTANTE	Una configurazione in cui si trova uno stato accettante (stato in $F$).
Definizione di CONFIGURAZIONE FINALE	Configurazione che non ammette legal successor secondo $M$.
Definizione di COMPUTAZIONE PARZIALE	Una computazione parziale per $M$ è una sequenza $c_1, c_2, \ldots, c_n$ tale che $c_1 \vdash_M c_2 \vdash_M \cdots \vdash_M c_n$. Non è detto che $c_1$ sia la config. iniziale né $c_n$ quella finale.
Definizione di COMPUTAZIONE	Una computazione per $M$ su $w \in \Sigma^*$ è una computazione parziale $c_1, c_2, \ldots, c_n$ dove $c_1$ è la configurazione iniziale e $c_n$ è una configurazione finale.
Definizione di ACCETTAZIONE di una MdT	Una MdT accetta $w$ se si arresta su uno stato accettante. Rifiuta $w$ se non si arresta su uno stato accettante (incluso il caso di divergenza).
Definizione di LINGUAGGIO di una MdT	$\mathcal{L}(M) = \{w \mid M(w) = 1\}$, cioè l'insieme delle stringhe accettate da $M$.
Definizione di DECIDE	$M$ decide $L$ sse $\forall w \in \Sigma^*$: $w \in L \Rightarrow M$ accetta $w$; $w \notin L \Rightarrow M$ si arresta e rifiuta $w$. La macchina termina sempre.
Definizione di RICONOSCE	$M$ riconosce $L$ sse $\forall w \in \Sigma^*$: $w \in L \Rightarrow M$ accetta $w$; $w \notin L \Rightarrow M$ non accetta $w$ (può divergere).
Proposizione: MEMORIA NELLO STATO — enunciato e dimostrazione	Enunciato: Data una MdT con memoria nello stato, esiste sempre una MdT senza memoria che riconosce lo stesso linguaggio. Dimostrazione: le macchine con memoria sono un prodotto cartesiano degli stati originali con i simboli memorizzati. I nuovi stati codificano la coppia (stato, memoria), quindi la macchina con memoria è solo una rappresentazione compatta di una MdT standard.
Proposizione: EQUIPOTENZA MACCHINE MULTITRACCIA — enunciato e dimostrazione	Enunciato: Data una macchina multitraccia, esiste sempre una MdT classica che riconosce lo stesso linguaggio. Dimostrazione: Data una macchina multitraccia di $n$ tracce con alfabeti $\Gamma_i$, si costruisce una MdT con $\Gamma = \Gamma_1 \times \cdots \times \Gamma_n$ che legge in un solo passo i simboli di tutte le tracce.
Proposizione: EQUIPOTENZA MACCHINE MULTINASTRO — enunciato e dimostrazione	Enunciato: Data una macchina multinastro, esiste una MdT classica equivalente. Dimostrazione: Si costruisce una macchina multitraccia con $2n$ tracce (dove $n$ = numero dei nastri): le tracce dispari sono puntatori alla posizione ipotetica di ciascuna testina, le pari contengono il nastro. La testina scansiona tutto da sx a dx, recupera i simboli sotto ogni puntatore, poi aggiorna tutto in un secondo passaggio.
