#separator:tab
#html:true
#notetype:Basic
#deck:Combinatoria Algebrica::Funzioni di Schur

Cos'è un polinomio <b>alternante</b>? Cos'è lo spazio \(A_k\)?	\(f \in \mathbb{Q}[x_1, \ldots, x_k]\) è <b>alternante</b> se \(\sigma \cdot f = \mathrm{sgn}(\sigma)\, f\) per ogni \(\sigma \in S_k\).<br><br>\(A_k\) = spazio di tutti i polinomi alternanti in \(k\) variabili. È graduato: \(A_k = \bigoplus_{m \geq |\delta|} A_k^{(m)}\) con \(|\delta| = \binom{k}{2}\).
Definisci \(a_\alpha\) per \(\alpha \in \mathbb{N}^k\) e indica quando è nullo.	\[a_\alpha := \det\!\bigl(x_i^{\alpha_j}\bigr)_{i,j=1}^{k} = \sum_{\sigma \in S_k} \mathrm{sgn}(\sigma)\, \sigma(x^\alpha)\]È <b>alternante</b> per costruzione.<br><br>\(a_\alpha = 0\) se due componenti di \(\alpha\) coincidono. Per \(a_\alpha \neq 0\) ci si riduce a \(\alpha_1 > \alpha_2 > \cdots > \alpha_k\), e ogni tale sequenza si scrive in modo unico come \(\alpha = \lambda + \delta\) con \(\lambda \in \mathrm{Par}\), \(\ell(\lambda) \leq k\).
Cos'è il <b>determinante di Vandermonde</b> \(a_\delta\)?	Con \(\delta = (k-1, k-2, \ldots, 1, 0)\):<br>\[a_\delta = \det(x_i^{k-j})_{i,j=1}^{k} = \prod_{1 \leq i < j \leq k} (x_i - x_j)\]Esempio (\(k=3\)): \(a_\delta = (x_1-x_2)(x_1-x_3)(x_2-x_3)\).
Enuncia il <b>lemma di fattorizzazione</b> dei polinomi alternanti.	\(f \in \mathbb{Q}[x_1,\ldots,x_k]\) è alternante \(\iff f = a_\delta \cdot g\) con \(g \in \mathrm{Sym}[X_k]\).<br><br><b>Dim (\(\Rightarrow\)):</b> da \((ij) \cdot f = -f\), specializzando \(x_i = x_j\) si ha \(f|_{x_i=x_j} = 0\), quindi \((x_i - x_j) \mid f\). I fattori sono coprimi, dunque \(a_\delta = \prod (x_i - x_j) \mid f\).<br><br><b>Corollario:</b> \(g \mapsto a_\delta \cdot g\) è un <b>isomorfismo</b> \(\mathrm{Sym}[X_k] \xrightarrow{\sim} A_k\).
Definisci la <b>funzione di Schur algebrica</b> \(s_\lambda\).	Per \(\lambda \vdash n\) con \(\ell(\lambda) \leq k\):<br>\[s_\lambda := \frac{a_{\lambda + \delta}}{a_\delta}\]con \(\lambda + \delta = (\lambda_1 + k-1,\, \lambda_2 + k-2,\, \ldots,\, \lambda_k)\).<br><br>È simmetrica perché numeratore e denominatore sono entrambi alternanti, e il quoziente sta in \(\mathrm{Sym}[X_k]\) per il lemma di fattorizzazione.
Calcola \(s_{(2,1)}\) con \(k = 2\).	\(\lambda + \delta = (3,1)\), \(\delta = (1,0)\):<br>\(a_{(3,1)} = \det\begin{pmatrix} x_1^3 & x_1 \\ x_2^3 & x_2 \end{pmatrix} = x_1 x_2(x_1-x_2)(x_1+x_2)\)<br>\(a_{(1,0)} = x_1 - x_2\)<br>\[s_{(2,1)} = x_1 x_2 (x_1+x_2) = m_{(2,1)}\]
Perché \(\{s_\lambda \mid \lambda \in \mathrm{Par}(n),\, \ell(\lambda) \leq k\}\) è una <b>base</b> di \(\mathrm{Sym}^n[X_k]\)?	<b>1.</b> \(\{a_{\lambda+\delta}\}\) base di \(A_k^{(m)}\) con \(m = n + |\delta|\): ogni alternante ha \(c_\alpha \neq 0\) solo per esponenti distinti, e raggruppando per orbita di \(S_k\) si ottiene \(f = \sum_\lambda c_{\lambda+\delta}\, a_{\lambda+\delta}\).<br><br><b>2.</b> \(\varphi: \mathrm{Sym}[X_k] \to A_k\), \(\varphi(g) = a_\delta \cdot g\), è isomorfismo che manda \(s_\lambda \mapsto a_{\lambda+\delta}\).<br><br><b>3.</b> \(\varphi\) manda basi in basi, quindi \(\{s_\lambda\}\) è base di \(\mathrm{Sym}^n[X_k]\).
Come si <b>estraggono i coefficienti di Schur</b> di \(f = \sum_\mu c_\mu s_\mu\)?	\[c_\lambda = [x^{\lambda + \delta}]\, (a_\delta \cdot f)\]Cioè \(c_\lambda\) è il coefficiente del monomio \(x^{\lambda + \delta}\) nel prodotto \(a_\delta \cdot f\).<br><br><b>Motivo:</b> \(a_\delta \cdot f = \sum_\mu c_\mu a_{\mu+\delta}\), e \(x^{\lambda+\delta}\) appare solo in \(a_{\lambda+\delta}\) (con coefficiente \(+1\), dal termine \(\sigma = \mathrm{id}\)).
Definisci la <b>funzione di Schur combinatoria</b> \(\widehat{s}_\lambda\).	\[\widehat{s}_\lambda(x) := \sum_{T \in \mathrm{SSYT}(\lambda)} x^T\]dove \(x^T = \prod_i x_i^{\#\{i \in T\}}\) è il <b>peso</b> del tableau (esponente di \(x_i\) = numero di \(i\) in \(T\)).<br><br>Si estende a forme skew: \(\widehat{s}_{\lambda/\mu} = \sum_{T \in \mathrm{SSYT}(\lambda/\mu)} x^T\).
Perché le \(\widehat{s}_\lambda\) sono <b>simmetriche</b>?	Basta mostrare \((i, i+1) \cdot \widehat{s}_{\lambda/\mu} = \widehat{s}_{\lambda/\mu}\). Si costruisce una <b>biezione</b> sugli SSYT che scambia \(\#\{i\}\) e \(\#\{i+1\}\):<br>• colonne senza \(i\) né \(i+1\): invariate<br>• colonne con entrambi: invariate (\(i\) sopra \(i+1\) per stretta crescenza)<br>• righe con blocchi misti \(\underbrace{i\cdots i}_{r}\underbrace{(i+1)\cdots(i+1)}_{s}\): diventano \(\underbrace{i\cdots i}_{s}\underbrace{(i+1)\cdots(i+1)}_{r}\)
Enuncia il <b>teorema</b>: \(s_\lambda = \widehat{s}_\lambda\).	La funzione di Schur <b>algebrica</b> coincide con quella <b>combinatoria</b>:<br>\[s_\lambda = \widehat{s}_\lambda \qquad \forall\, \lambda\]<br><b>Dim (sketch):</b> entrambe sono basi simmetriche di \(\mathrm{Sym}[X]\); si confronta lo sviluppo nei monomiali \(\widehat{s}_\lambda = \sum K_{\lambda,\mu} m_\mu\) con il fatto che \(s_\lambda\) ha lo stesso sviluppo (via RSK / RSK duale, oppure tramite biezione di Lindström-Gessel-Viennot).
