Che cos'e' una partizione λ ⊢ n?;Una sequenza λ = (λ_1, ..., λ_k) con λ_1 ≥ ... ≥ λ_k ≥ 0 interi e Σ λ_i = n. Si scrive |λ| = n e l(λ) = k (lunghezza). L'insieme di tutte le partizioni di n si indica con Par(n).
Perche' si richiede l'ordinamento λ_1 ≥ ... ≥ λ_k nella definizione di partizione?;Per evitare di contare partizioni uguali ma scritte in modo diverso: ad esempio (3,2,2) e (2,3,2) sarebbero la stessa partizione se non fosse per l'ordinamento.
Che cos'e' il diagramma di Ferrer di una partizione λ?;Rappresentazione grafica di λ come array di celle allineate a sinistra: la riga i contiene λ_i celle. Per convenzione si disegna dal basso verso l'alto (come in questo corso).
Quando si ha μ ⊆ λ tra due partizioni?;Quando ∀i. μ_i ≤ λ_i (estendendo con zeri se le lunghezze differiscono). Equivalentemente: il diagramma di Ferrer di μ e' contenuto in quello di λ.
Che cos'e' una partizione sghemba λ/μ?;Se μ ⊆ λ, la partizione sghemba e' λ/μ := (λ_1-μ_1, ..., λ_k-μ_k). Non e' una vera partizione: geometricamente e' la differenza dei due diagrammi di Ferrer.
Che cos'e' l'ordine dominante sulle partizioni?;Relazione su Par(n): μ ≤ λ se ∀i. μ_1 + ... + μ_i ≤ λ_1 + ... + λ_i. E' un ordine PARZIALE: due partizioni di lunghezze diverse possono essere incomparabili.
Esempio di ordine dominante.;(2,2) ≤ (3,1) in Par(4): 2 ≤ 3 e 2+2 = 3+1 = 4. Quindi le somme parziali di (3,1) dominano quelle di (2,2).
Che cos'e' il Reverse Lexicographic Order (RLO)?;Ordine TOTALE su Par(n): μ ≤^R λ se μ = λ, oppure esiste i tale che μ_1 = λ_1, ..., μ_i = λ_i ma μ_{i+1} < λ_{i+1}.
Esempio di RLO su Par(5).;(5) >^R (4,1) >^R (3,2) >^R (3,1,1) >^R (2,2,1) >^R (2,1,1,1) >^R (1,1,1,1,1).
Relazione tra ordine dominante e RLO?;Se λ ≤ μ nell'ordine dominante, allora λ ≤^R μ nel RLO. Quindi il RLO estende l'ordine dominante ed e' un ordine totale. Il RLO "raffina" il dominante aggiungendo comparabilita'.
Che cos'e' un Semi-Standard Young Tableau (SSYT)?;Riempimento di un diagramma di Ferrer con interi {1,...,n} strettamente ascendenti sulle colonne (dal basso verso l'alto) e debolmente ascendenti sulle righe (da sinistra a destra). Gli interi possono ripetersi.
